"","UniqueReceptionTime","MD5_Hash","Label","PennType","Parameter","EventTime","vies","item","frase","lista","genero","escolaridade","nativo","resposta","minhaescala"
"1",1631743574,"6c88d0b1a933c9cb8db4db7ab2e4a5d2","experiment","Scale","Choice","1631743961866","distributivo",47,"Os manobristas estacionaram um carro.","A","Feminino","Pós-Graduação","Sim","Mais de um","5"
"2",1631743574,"6c88d0b1a933c9cb8db4db7ab2e4a5d2","experiment","Scale","Choice","1631743989408","coletivo",62,"Os voluntários limparam uma praia.","A","Feminino","Pós-Graduação","Sim","Apenas um","5"
"3",1631743574,"6c88d0b1a933c9cb8db4db7ab2e4a5d2","experiment","Scale","Choice","1631744016202","distributivo",36,"Os rapazes furaram uma orelha.","A","Feminino","Pós-Graduação","Sim","Apenas um","3"
"4",1631743574,"6c88d0b1a933c9cb8db4db7ab2e4a5d2","experiment","Scale","Choice","1631744049286","teste",30,"As meninas confeitaram um bolo.","A","Feminino","Pós-Graduação","Sim","Apenas um","3"
"5",1631743574,"6c88d0b1a933c9cb8db4db7ab2e4a5d2","experiment","Scale","Choice","1631744078024","teste",18,"Os refugiados compraram um terreno.","A","Feminino","Pós-Graduação","Sim","Apenas um","5"
"6",1631743574,"6c88d0b1a933c9cb8db4db7ab2e4a5d2","experiment","Scale","Choice","1631744105071","teste",11,"As arrumadeiras arrumaram um quarto.","A","Feminino","Pós-Graduação","Sim","Apenas um","3"
"7",1631743574,"6c88d0b1a933c9cb8db4db7ab2e4a5d2","experiment","Scale","Choice","1631744134323","distributivo",34,"As trabalhadoras quebraram um dedo.","A","Feminino","Pós-Graduação","Sim","Mais de um","3"
"8",1631743574,"6c88d0b1a933c9cb8db4db7ab2e4a5d2","experiment","Scale","Choice","1631744162076","teste",24,"Os jardineiros molharam um jardim.","A","Feminino","Pós-Graduação","Sim","Apenas um","5"
"9",1631743574,"6c88d0b1a933c9cb8db4db7ab2e4a5d2","experiment","Scale","Choice","1631744190093","coletivo",59,"Os trabalhadores fabricaram uma ferramenta.","A","Feminino","Pós-Graduação","Sim","Apenas um","5"
"10",1631743574,"6c88d0b1a933c9cb8db4db7ab2e4a5d2","experiment","Scale","Choice","1631744216366","distributivo",40,"Os adolescentes espremeram uma espinha.","A","Feminino","Pós-Graduação","Sim","Mais de um","5"
"11",1631743574,"6c88d0b1a933c9cb8db4db7ab2e4a5d2","experiment","Scale","Choice","1631744241474","teste",15,"Os lenhadores cortaram uma árvore.","A","Feminino","Pós-Graduação","Sim","Apenas um","3"
"12",1631743574,"6c88d0b1a933c9cb8db4db7ab2e4a5d2","experiment","Scale","Choice","1631744265915","teste",5,"As ativistas replantaram um canteiro.","A","Feminino","Pós-Graduação","Sim","Apenas um","5"
"13",1631743574,"6c88d0b1a933c9cb8db4db7ab2e4a5d2","experiment","Scale","Choice","1631744291037","coletivo",64,"As atrizes encenaram uma peça.","A","Feminino","Pós-Graduação","Sim","Apenas um","5"
"14",1631743574,"6c88d0b1a933c9cb8db4db7ab2e4a5d2","experiment","Scale","Choice","1631744315975","teste",21,"As mulheres instalaram um lustre.","A","Feminino","Pós-Graduação","Sim","Apenas um","5"
"15",1631743574,"6c88d0b1a933c9cb8db4db7ab2e4a5d2","experiment","Scale","Choice","1631744340996","coletivo",57,"Os atletas pintaram uma quadra.","A","Feminino","Pós-Graduação","Sim","Apenas um","5"
"16",1631743574,"6c88d0b1a933c9cb8db4db7ab2e4a5d2","experiment","Scale","Choice","1631744365843","teste",3,"Os faxineiros limparam uma sala.","A","Feminino","Pós-Graduação","Sim","Apenas um","5"
"17",1631744919,"2e843390952a2710f741bb6adb4c6df9","experiment","Scale","Choice","1631744508221","teste",9,"As diaristas varreram um escritório.","B","Feminino","Pós-Graduação","Sim","Apenas um","5"
"18",1631744919,"2e843390952a2710f741bb6adb4c6df9","experiment","Scale","Choice","1631744566141","teste",10,"Os carregadores moveram uma mesa.","B","Feminino","Pós-Graduação","Sim","Apenas um","5"
"19",1631744919,"2e843390952a2710f741bb6adb4c6df9","experiment","Scale","Choice","1631744590396","coletivo",63,"Os jardineiros capinaram um jardim.","B","Feminino","Pós-Graduação","Sim","Apenas um","5"
"20",1631744919,"2e843390952a2710f741bb6adb4c6df9","experiment","Scale","Choice","1631744616421","teste",25,"Os funcionários podaram uma árvore.","B","Feminino","Pós-Graduação","Sim","Apenas um","5"
